VARIABLES	"Variable		
Name"	Model Generated	Monetary	Default Variable	"Default		
Value"	"Automatic		
Label"																	
	bunmy	0	0	n/a	0	benefit : unemployment : months per year	-	UB: no. of months received in the year	no. months receiving unemployment benefits	no. of months in unemp benefit	no. of months in unemp benefit	-	-	Months during last 12 months collecting unemployment benefit (Pocet mesicu v poslednich 12 mesicich pobirani prispevku v nezamestnanosti)	no. months receiving unemployment benefit (n. de meses recibiendo desempleo)	no. months receiving unemployment benefits	-	-	-	-			
	bunmy_s	1	0	n/a	1E-13	benefit : unemployment : months per year : simulated	-	-	-	-	unemployment benefit: months received in the year	-	-	Months during last 12 months collecting unemployment benefit (Pocet mesicu v poslednich 12 mesicich pobirani prispevku v nezamestnanosti)	-	no. months receiving unemployment benefits	no. months receiving unemployment insurance benefit	-	-	-			
	bunnc	0	1	n/a	0	benefit : unemployment : non-contributory	-	-	unemployment assistance benefit (t��tu abiraha)	-	-	-	-	-	BEN unemployment assistance (prestacion por desempleo asistencial)	-	unemployment assistance for older workers (??????? ???????????? ???????)	-	-	-			
	bunnc_s	1	1	n/a	1E-13	benefit : unemployment : non-contributory : simulated	-	-	unemployment assistance benefit (t��tu abiraha)	-	-	-	-	-	BEN Unemployment assistance 	-	unemployment assistance for older workers (??????? ???????????? ???????)	-	-	-			
	bunncmy	0	0	n/a	0	benefit : unemployment : non-contributory : months per year	-	-	no. months receiving unemployment assistance benefit	-	-	-	-	-	no. months receiving unemployment assistance (n. de meses recibiendo subsidio por desempleo)	-	-	-	-	-			
	bunncmy_s	1	0	n/a	1E-13	benefit : unemployment : non-contributory : months per year : simulated	-	-	no. months receiving unemployment assistance benefit	-	-	-	-	-	no. months receiving unemployment assistance (n. de meses recibiendo subsidio por desempleo)	-	-	-	-	-			
	bunot	0	1	n/a	0	benefit : unemployment : other	-	-	-	-	-	-	-	-	-	-	minor unemployment benefits	-	-	-			
	bunst	0	1	n/a	0	benefit : unemployment : short term	-	Unemployment benefit s.t. training	-	-	-	-	-	-	-	-	-	-	-	-			
	buntr	0	1	n/a	0	benefit : unemployment : training	-	-	unemployment retraining benefit (t��tu �mber�ppe stipendium)	-	-	-	-	-	-	-	-	Training allowance	-	-			
	bwkmt	0	1	n/a	0	benefit : work related : means-tested	-	-	-	-	-	-	-	-	-	-	-	Working Tax Credit	-	-			
	bwkmt_s	1	1	n/a	0.0000000000001	benefit : work related : means-tested : simulated	-	-	-	-	-	-	-	-	-	-	-	Working Tax Credit	-	-			
	bwkmtcmyn_s	1	1	n/a	0.0000000000001	benefit : work related : means-tested : complement : received? yes/no : simulated	-	-	-	-	-	-	-	-	-	-	-	Receipt WTC 30hrs element	-	-			
	byr	0	1	n/a	0	benefit : early retirement	Early retirement pension	-	-	-	-	-	-	-	-	early retirement benefit	-	-	-	-			
	byr_s	1	1	n/a	1E-13	benefit : early retirement : simulated	early retirement benefit: simulated	-	-	-	-	-	-	-	-	-	-	-	-	-			
	dag	0	0	n/a	0	demographic : age	age	-	age	individual age	individual age	individual age	Age	Age (vek)	age (edad)	age	age	age	-	-			
	dct	0	0	n/a	0	demographic : country	country code	-	country code	country of residence	country of residence	country of residence	-	Country specific code (specificky kod zeme)	country code (codigo del pais)	country code	country code	country code	-	-			
	dcu	0	0	n/a	0	demographic : consensual union	consensual union: not married but legally cohabiting	-	-	-	-	-	-	-	-	-	-	-	-	-			
	dcz	0	0	n/a	0	demographic : citizenship	Citizenship	Citizenship	citizenship	citizenship	citizenship	citizenship	-	Citizenship (statni prislusnost)	citizenship (ciudadania)	citizenship	citizenship	citizenship	-	-			
	ddi	0	0	n/a	0	demographic : disability	Disability status (0-1)	Disability status (0-1)	disability status	disability level in percent (0-100)	-	"disabled (yes, no)"	-	Permanently disabled or/and unfit to work (trvale invalidni a/nebo neschopen prace)	disability (invalidez)	disability	disability	disability	-	-			
	ddilv	0	0	n/a	0	demographic : disability : level (%)	-	-	-	disability level in percent (0-100)	disability level	-	-	-	-	-	-	-	-	-			
	ddita	0	0	n/a	0	demographic : disability : tax related	-	-	-	-	-	-	-	-	-	-	disability status for taxation purposes	-	-	-			
	ddp_s	1	1	n/a	1E-13	demographic : dependant : simulated	dependent person (0=no; 1=yes)	-	-	-	-	-	-	-	-	-	-	-	-	-			
	ddt	0	0	n/a	0	demographic : date of interview	date of interview	-	-	date of interview	date of interview	-	-	Quarter of interview (datum vysetreni)	data of interview (fecha de entrevista)	data of interview (fecha de entrevista)	data of interview (fecha de entrevista)	data of interview	-	-			
	dec	0	0	n/a	0	demographic : education - current status	education - current status	-	education - current status	current level of education	current level of education	current level of education	Current level of Education	Current education level (stavajici vzdelavaci stupen)	level of current education (nivel de educacion actual)	current level of education	current level of education	current level of education	-	-			
	deh	0	0	n/a	0	demographic : education - highest status	education - highest status	-	education - highest status	highest level of education achieved	highest level of education achieved	highest level of education achieved	-	Highest Education achieved (nejvyssi dosazeny stupen vzdelani)	level of highest education (nivel de educacion m�s alto ya obtenido)	highest level of education achieved	highest level of education achieved	highest level of education	-	-			
	dew	0	0	n/a	0	demographic : education - when achieved highest status	Education: when achieved highest status	-	-	Education: when achieved highest status	-	-	-	Year when highest level of education was attained (Rok dosazeni nejvyssiho stupne vzdelani)	year achieved highest education level (a�o de obtenci�n de nivel m�s alto de educacion)	year achieved highest education level	year achieved highest education level (a�o de obtenci�n de nivel m�s alto de educacion)	year achieved highest level of education	-	-			
	dey	0	0	n/a	0	demographic : education - number of years	Education: number of years 	-	number of years in education	Education: number of years 	-	-	-	Number of years spent in education (pocet let skoly)	number of years in education (numero de a�os en educacion)	number of years in education	number of years in education	number of years in education	-	-			
	dgn	0	0	n/a	0	demographic : gender	gender	-	gender	gender	gender	gender	Gender	Gender (pohlavi)	gender (genero)	gender	gender	gender	-	-			
	dhr	0	0	n/a	0	demographic : home responsible	-	-	-	-	-	-	-	-	-	-	-	Home Responsible	-	-			
	dlg_s	1	0	n/a	1E-13	demographic : large family : simulated	-	-	-	-	-	-	-	-	Is large family (es familia numerosa?)	-	-	-	-	-			
	dmp	0	0	n/a	0	demographic : municipality population	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	dms	0	0	n/a	0	demographic : marital status	marital status	-	marital status	marital status	marital status	marital status	Marital Status	Marital status (rodinny stav)	marital status (estado civil)	marital status	marital status	marital status	-	-			
	dqb	0	0	n/a	0	demographic : quarter of birth	-	-	-	-	-	-	-	-	-	quarter of birth	-	-	-	-			
	drgn1	0	0	n/a	1	demographic : region : nuts level 1	region - nuts level 1	NUTS 1 (macro aree)	region - nuts level 1	"region, NUTS1 level"	"region, NUTS1 level"	"region, NUTS1 level"	-	ID of regional level NUTS 1 (regionalni kod urovne NUTS 1)	region NUTS 1 (region NUTS1)	"region, NUTS1 level"	region NUTS 1	region NUTS 1	-	-			
	drgn2	0	0	n/a	0	demographic : region : nuts level 2	-	NUTS 2 (Regioni)	-	-	NUTS 2	-	-	ID of regional level NUTS 2 (regionalni kod urovne NUTS 2)	region NUTS 2 (region NUTS2)	-	region NUTS 2	-	-	-			
	drgur	0	0	n/a	0	demographic : region : urban	-	-	-	-	-	-	-	-	-	level of urbanisation	level of urbanisation	-	-	-			
	dsu00	0	0	n/a	0	demographic : sample units : main/basic	-	-	-	-	-	-	-	-	order of selection of PSU (unidad de muestreo)	order of selection of PSU	order of selection of PSU	-	-	-			
	dsu01	0	0	n/a	0	demographic : sample units : 01	-	-	-	-	-	-	-	-	PSU first-stage (unidad de muestreo primera etapa)	PSU 1st stage	PSU first-stage	-	-	-			
	dsu02	0	0	n/a	0	demographic : sample units : 02	-	-	-	-	-	-	-	-	PSU second-stage (unidad de muestreo segunda etapa)	PSU 2nd stage	PSU second-stage	-	-	-			
	dwt	0	0	n/a	0	demographic : weight	household weight	-	household weight	weight	weight	weight	Household Weight	Household cross-sectional weight (prurezova vaha domacnosti)	weight (peso muestral)	household weight	household weight	household weight	-	-			
	idfather	0	0	n/a	0	identifier: father	ID of father if in household otherwise 0	ID of father if in household otherwise 0	ID of father if in household otherwise 0	ID of father if in household otherwise 0	ID of father if in household otherwise 0	ID of father if in household otherwise 0	ID of father if in household otherwise 0	Father identification number (identifikacni kod otce)	identification number of father (numero de identificacion del padre)	father ID	father ID	ID of father if in household otherwise 0	-	-			
	idhh	0	0	n/a	0	identifier: household	Household ID	Household ID	Household ID	Household ID	Household ID	Household ID	Household ID	Household  identification number (identifikacni kod domacnosti)	identification number of household (numero de identificacion del hogar)	household ID	household ID	Household ID	-	-			
	idmother	0	0	n/a	0	identifier: mother	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	ID of mother if in household otherwise 0	Mother identification number (identifikacni kod matky)	identification number of mother (numero de identificacion de la madre)	mother ID	mother ID	ID of mother if in household otherwise 0	-	-			
	idorigbenunit	0	0	n/a	0		-	-	-	-	-	-	-	-	-	-	-	Original Benefit Unit  ID 	-	-			
	idorighh	0	0	n/a	0		Original Household ID 	Original Household ID 	Original Household ID 	Original Household ID 	Original Household ID 	Original Household ID 	Original Household ID 	Original household identification number (puvodni identifikacni kod somacnosti)	original identification number of household (numero de identificacion original del hogar)	Original Household ID 	Original Household ID 	Original Household ID 	-	-			
	idorigperson	0	0	n/a	0		Original Person ID 	Original Person ID 	Original Person ID 	Original Person ID 	Original Person ID 	Original Person ID 	Original Person ID 	Original personal identification number (puvodni identifikacni kod osoby)	original identification number of person (numero de identificacion original de la persona)	Original Person ID 	Original Person ID 	Original Person ID 	-	-			
	idparent	0	0	n/a	0	identifier: parent	"ID of mother if in household otherwise, father"	"ID of mother if in household otherwise, father"	"ID of mother if in household otherwise, father"	"ID of mother if in household otherwise, father"	"ID of mother if in household otherwise, father"	"ID of mother if in household otherwise, father"	"ID of mother if in household otherwise, father"	-	-	-	-	"ID of mother if in household otherwise, father"	-	-			
	idpartner	0	0	n/a	0	identifier: partner	ID of partner if married or cohabiting	ID of partner if married or cohabiting	ID of partner if married or cohabiting	ID of partner if married or cohabiting	ID of partner if married or cohabiting	ID of partner if married or cohabiting	ID of partner if married or cohabiting	Partner/spouse identification number (identifikacni kod partnera)	identification number of partner (numero de identificacion de la pareja)	partner ID	partner ID	ID of partner if married or cohabiting	-	-			
	idperson	0	0	n/a	0	identifier: person	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Unique Person ID = idhh * 100 + unique number within household	Personal  identification number (identifikacni kod osoby)	identification number of person (numero de identificacion de la persona)	person ID	person ID	Unique Person ID = idhh * 100 + unique number within household	-	-			
	ked	0	1	n/a	0	in kind : education	-	-	-	-	-	-	-	-	-	-	-	Education (AIMAP)	-	-			
	kfb	0	1	n/a	0	in kind : fringe benefit	fringe benefits (retribuciones en especie)	fringe benefits	-	-	-	-	-	Fringe benefits of employees (Naturalni pozitky zamestnancu)	fringe benefits (retribuciones en especie)	fringe benefits	fringe benefits	-	-	-			
	kfb_s	1	1	n/a	0.0000000000001	in kind : fringe benefit : simulated	-	fringe benefits (taxable)	-	-	-	-	-	-	-	-	-	-	-	-			
	khl	0	1	n/a	0	in kind : health	-	-	-	-	-	-	-	-	-	-	-	Health (AIMAP)	-	-			
	kivho	0	1	n/a	0	in kind : imputed value : housing	Housing imputed value	-	-	-	-	-	-	Imputed rent (Odvozeny najem)	imputed income of housing (renta imputada de la vivienda)	imputed rent	imputed rent	imputed rent	-	-			
	lap	0	0	n/a	0	labour market : apprentice	-	Apprentice	-	-	-	-	-	-	-	-	-	-	-	-			
	lap00	0	0	n/a	0	labour market : apprentice : main/basic	-	Temporay worker (Co.co.co.)	-	-	-	-	-	-	-	-	-	-	-	-			
	lbl	0	0	n/a	0	labour market : business licence	-	-	-	-	-	-	-	-	-	business certificate	-	-	-	-			
	lcd01	0	0	n/a	0	labour market : cumulative distribution : 01	-	-	-	-	-	-	-	-	-	-	distribution of TEBE (old) contributors	-	-	-			
	lcd02	0	0	n/a	0	labour market : cumulative distribution : 02	-	-	-	-	-	-	-	-	-	-	distribution of TEBE (new) contributors	-	-	-			
	lcd03	0	0	n/a	0	labour market : cumulative distribution : 03	-	-	-	-	-	-	-	-	-	-	distribution of farmers	-	-	-			
	lcd04	0	0	n/a	0	labour market : cumulative distribution : 04	-	-	-	-	-	-	-	-	-	-	distribution of TAE (old) contributors	-	-	-			
	lcd05	0	0	n/a	0	labour market : cumulative distribution : 05	-	-	-	-	-	-	-	-	-	-	distribution of TAE (new) contributors	-	-	-			
	lcl	0	0	n/a	0	labour market : collar	-	Collar (white - blue)	-	-	-	-	-	-	-	-	-	-	-	-			
	lcr	0	0	n/a	0	labour market : carer	-	-	-	-	carer	-	-	-	-	-	-	carer	-	-			
	lcs	0	0	n/a	0	labour market : civil servant	civil servant	-	-	-	-	-	-	-	-	-	civil servant	civil servant	-	-			
	lct	0	0	n/a	0	labour market : contract type	-	-	-	-	-	-	-	-	-	-	contracty type (permanent vs temporary)	-	-	-			
	les	0	0	n/a	0	labour market : economic status	economic status	-	economic status	labour economic status	labour economic status	labour economic status	Labour Economis Status	Economic status (Ekonomicka aktivita)	economic status (situacion economica)	economic status	economic status	economic status	-	-			
	lfs	0	0	n/a	0	labour market : firm size	firm size	-	-	-	-	-	-	Firm size (pocet zamestnancu pracoviste)	firm size (tamano de empresa)	firm size	firm size	firm size	-	-			
	lhw	0	0	n/a	0	labour market : hours worked per week	hours worked per week	-	hours worked per week	hours worked per week	hours worked per week	-	-	Hours worked per week (odpracovane hodiny tydne)	hours worked per week (horas trabajadas por semana)	hours worked per week	hours worked per week	hours worked per week	-	-			
	lhw00	0	0	n/a	0	labour market : hours worked per week : main/basic	-	-	-	-	-	-	-	-	-	-	-	Hours per week as employee	-	-			
	lhw01	0	0	n/a	0	labour market : hours worked per week : 01	-	-	-	-	-	-	-	-	-	-	-	Hours worked as selfemp	-	-			
	lim	0	0	n/a	0	labour market : insurance scheme memb	-	-	-	-	-	-	-	-	-	-	-	NICs Class	-	-			
	lin	0	0	n/a	0	labour market : industry (nace)	industry	-	industry	industry	industry	industry	-	Industry code (kod odvetvi ekonomicke cinnosti)	industry (industria)	industry	industry	industry	-	-			
	lindi	0	0	n/a	0	labour market : industry (nace) : detailed industry	detailed industry	-	-	-	-	-	-	Industry code detailed (kod odvetvi ekonomicke cinnosti - podrobny)	detailed industry (industria detallada)	detailed industry	detailed industry	-	-	-			
	liwft_s	1	0	n/a	1E-13	labour market : in work : full time worker : simulated	-	-	-	-	-	-	-	-	full-time worker (trabajador a tiempo completo)	-	-	-	-	-			
	liwmy	0	0	n/a	0	labour market : in work : months per year	Months worked per year	Months worked per year	no. of months worked during the year	Working months per year (Munk�val t�lt�tt h�napok sz�ma az elm�lt �vben)	-	-	-	Months in work per year (pocet mesicu prace v obdobi poslednich 12 mesicu)	number of months worked in the year (n. de meses trabajados en el ano)	no. of months worked during the year	no. of months worked during the year	-	-	-			
	liwmy_s	1	0	n/a	1E-13	labour market : in work : months per year : simulated	-	-	no. of months worked during the year	Working months per year simulated( currently switched off)	-	-	-	-	number of months worked in the year (n. de meses trabajados en el ano)	no. of months worked during the year	no. of months worked during the year	-	-	-			
	liwpwwh	0	0	n/a	0	labour market : in work : previous work : work history (length of time in months)	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	liwwh	0	0	n/a	0	labour market : in work : work history (length of time in months)	no. of months worked	Number of months with SICs payed	no. of months worked total	Work history (Munk�val t�lt�tt h�napok sz�ma)	-	-	-	Number of months in work (pocet odpracovanych mesicu)	number of months worked (n. de meses trabajados)	no. of months worked total	no. of months worked total	no. of months worked	-	-			
	lle	0	0	n/a	0	labour market : on leave	-	-	-	-	-	-	-	-	-	-	-	on leave	-	-			
	loc	0	0	n/a	3	labour market : occupation (isco 1-digit)	occupation	-	occupation	occupation	occupation	occupation	-	Occupationl code (kod zamestnani)	occupation (ocupacion)	occupation	occupation	occupation	-	-			
	lochz	0	0	n/a	0	labour market : occupation (isco 1-digit) : hazardous work?	-	-	-	-	-	-	-	-	-	-	hard and arduous occupations	-	-	-			
	lowas	0	0	n/a	0	labour market : out of work : actively seeking	actively looking for work	-	-	-	-	-	-	-	actively looking for work (buscando trabajo)	actively looking for work	actively looking for work	actively looking for work	-	-			
	lpb	0	0	n/a	0	labour market : public sector	-	-	-	-	public sector worker?	-	-	-	-	-	-	-	-	-			
	lpemy	0	0	n/a	0	labour market : pensioner : months per year	Months retired per year	Months retired per year	-	-	-	-	-	Number of months as a pensioner during last 12 months (pocet mesicu v duchodu za poslednich 12 mesicu)	number of months as pensioner in the year (numero de meses como pensionista en el a�o)	no. of months in retirement during the year	no. of months in retirement during the year	-	-	-			
	lpf	0	0	n/a	0	labour market : professional	-	Professional	-	-	-	-	-	-	-	-	-	-	-	-			
	lpm	0	0	n/a	0	labour market : pension membership	-	-	funded pension membership (2nd pillar)	-	-	-	-	-	-	-	pension membership (old vs new)	pension membership	-	-			
	lpmfc	0	0	n/a	0	labour market : pension membership : sic fund (contributing to)	-	-	-	-	-	-	-	-	-	-	employees' social insurance fund	-	-	-			
	lpmfr	0	0	n/a	0	labour market : pension membership : sic fund (receiving from)	-	-	-	-	-	-	-	-	-	-	pensioners' social insurance fund	-	-	-			
	lse	0	0	n/a	0	labour market : self employed	self-employed status	-	self-employed status	-	-	-	-	Self employment status (statut podnikatele)	type of self employed: with or w/o employees (tipo de trabajador por cuenta propia: con o sin empleados)	self-employment type	self-employment type	-	-	-			
	lse00	0	0	n/a	0	labour market : self employed : main/basic	-	Occupation of self employed	-	EVA payers	-	-	-	-	-	-	-	-	-	-			
	lsepf	0	0	n/a	0	labour market : self employed : professional	-	-	-	-	-	"self-employed professional (yes, no)"	-	-	-	-	-	-	-	-			
	lserg	0	0	n/a	0	labour market : self employed : registered	-	-	registered self-employed	-	-	-	-	-	-	-	-	-	-	-			
	lunmy	0	0	n/a	0	labour market : unemployed : months per year	Months unemployed per year	Months unemployed per year	no of months in unemployment during the year	Unemployed : Months per year (Munkan�lk�lik�nt t�lt�tt h�napok sz�ma az elm�lt �vben)	-	-	-	Months unemployed during last 12 months (pocet mesicu statutu nezamestnaneho behem poslednich 12 mesicu)	number of months as in unemployment in the year (numero de meses desempleado en el a�o)	no of months in unemployment during the year	no of months in unemployment during the year	-	-	-			
	lunmy_s	1	0	n/a	1E-13	labour market : unemployed : months per year : simulated	-	-	no of months in unemployment during the year	unemployment months per year simulated (currently switched off)	-	-	-	-	number of months as in unemployment in the year (numero de meses desempleado en el a�o)	no of months in unemployment during the year	no of months in unemployment during the year	-	-	-			
	lyrmy	0	0	n/a	0.0000000000001	labour market : early retired : months per year	Months early retired per year	-	-	-	-	-	-	-	-	-	-	-	-	-			
	pdi	0	1	n/a	0	pension : disability	Permanent disability benefits	-	disability pension (invaliidsuspension)	disability benefits (rokkants�gi t�mogat�sok)	-	disability pension	-	Disability pension (Plny a castecny invalidni duchod). 	PEN disability benefit (prestacion por invalidez)	-	disability pension	-	-	-			
	pdi00	0	1	n/a	0	pension : disability : main/basic	-	-	-	-	disability insurance pension	-	-	-	-	-	-	-	-	-			
	pdinc	0	1	n/a	0	pension : disability : non-contributory	-	Invalidity pension - non contributory (Assegni di accompagnamento)	-	-	-	-	-	-	-	-	-	-	-	-			
	pdinw	0	1	n/a	0	pension : disability : not working	-	-	-	-	social pension	-	-	-	-	-	-	-	-	-			
	pdiss	0	1	n/a	0	pension : disability : social security	-	Invalidity pension - contributory (Pensione di invalidita')	-	-	-	-	-	-	-	-	-	-	-	-			
	pdiuc	0	1	n/a	0	pension : disability : unconditional/universal	-	-	-	-	nursing allowance	-	-	-	-	-	-	-	-	-			
	pdiuc_s	1	1	n/a	1E-13	pension : disability : unconditional/universal : simulated	-	-	-	-	nursing allowance	-	-	-	-	-	-	-	-	-			
	pfa	0	1	n/a	0	pension : family	-	-	-	-	-	-	-	-	-	-	lifetime pension for mothers of many-children (?????? ??????? ?????????? ???????)	-	-	-			
	phl	0	1	n/a	0	pension : health	Sickness related Benefits	-	-	"Sickness related Benefits, Pension (Betegs�ggel kapcsolatos juttat�sok, rokkantnyugd�j) "	-	-	-	-	-	-	-	-	-	-			
	pls	0	1	n/a	0	pension : lump-sum	-	-	-	-	-	holiday bonus for pensioners	-	-	-	-	-	-	-	-			
	pmy	0	0	n/a	0	pension : months per year	-	pension: no. months received in the year	-	-	-	-	-	-	-	-	-	-	-	-			
	poa	0	1	n/a	0	pension : old age	Old Age Pension	-	-	old age income (�regs�gi/saj�t jog� nyugd�j)	-	-	Old Age Pension	Old age pension (Starobni duchod)	PEN old-age pension (pension por vejez)	-	total old age pensions	-	-	-			
	poa_s	1	1	n/a	1E-13	pension : old age : simulated	part of pensions included in net own means	-	-	-	-	-	-	-	-	-	-	-	-	-			
	poa00	0	1	n/a	0	pension : old age : main/basic	-	-	old age pension	-	old-age insurance pension	-	-	-	PEN contributory old-age pension (pension por vejez contributiva)	-	main old age pension (????? ??????? ???????)	-	-	-			
	poaab	0	1	n/a	0	pension : old age : abroad	-	-	old age pension abroad	-	old-age pension from abroad	-	-	-	-	-	-	-	-	-			
	poacm	0	1	n/a	0	pension : old age : complement	-	-	-	-	nursing supplement	-	-	-	PEN contributory old-age pension complement (complemento por minimo a pension por vejez)	-	supplementary old age pension (?????????? ??????? ???????)	-	-	-			
	poacm_s	1	1	n/a	1E-13	pension : old age : complement : simulated	-	-	-	-	Nursing Supplement	-	-	-	PEN Old-age pension complement (Complemento de m�nimos por jubilaci�n)	-	-	-	-	-			
	poamt	0	1	n/a	0	pension : old age : means-tested	-	Social pension (Pensione / Assegno sociale)	-	-	-	-	-	-	-	-	-	-	-	-			
	poamt_s	1	1	n/a	1E-13	pension : old age : means-tested : simulated	-	-	-	"social assistance, old-age allowance (id?skor�ak j�rad�ka)"	-	-	-	-	-	-	-	-	-	-			
	poamy	0	0	n/a	0	pension : old age : months per year	-	-	-	-	-	-	-	Months during last 12 months collecting  old-age pension(pocet mesicu v poslednich 12 mesicich kdy byl pobiran starobni duchod)	no. months receiving old-age pension (n. de meses recibiendo pension por vejez)	-	-	-	-	-			
	poanc	0	1	n/a	0	pension : old age : non-contributory	-	-	-	-	-	old-age assistance	-	-	PEN non contributory old-age pension (pension no contributiva por vejez)	-	-	-	-	-			
	poanc00_s	1	1	n/a	0.0000000000001	pension : old age : non-contributory : main/basic : simulated	-	-	-	-	-	-	-	-	PEN main old-age non contributory pension (parte principal de la prestacion no contributiva por vejez)	-	-	-	-	-			
	poanc_s	1	1	n/a	1E-13	pension : old age : non-contributory : simulated	-	-	-	-	-	-	-	-	PEN non contributory old-age pension (pension no contributiva por vejez)	-	-	-	-	-			
	poancna_s	1	1	n/a	0.0000000000001	pension : old age : non-contributory : national government : simulated	-	-	-	-	-	-	-	-	PEN national complement to non contributory old-age pension (complemento estatal para pension no contributiva por vejez)	-	-	-	-	-			
	poancrg_s	1	1	n/a	0.0000000000001	pension : old age : non-contributory : regional government : simulated	-	-	-	-	-	-	-	-	PEN regional complement to non contributory old-age pension (complemento auton�mico para pension no contributiva por vejez)	-	-	-	-	-			
	poaot	0	1	n/a	0	pension : old age : other	-	-	-	-	-	-	-	-	-	-	minor old age pensions	-	-	-			
	poass	0	1	n/a	0	pension : old age : social security	-	Old age pension (Pensione di vecchiaia o di anzianita')	-	-	-	-	-	-	-	-	-	-	-	-			
	psu	0	1	n/a	0	pension : survivors	survivor pensions	-	survivors' pension (toitjakaotuspension)	survivor benefits (hozz�tartoz�i jogon j�r� nyugd�j)	survivor pensions	survivor pensions	-	Survivors pension (vdovsky duchod)	PEN survivor pension (pension por supervivencia)	-	-	-	-	-			
	psumy	0	0	n/a	0	pension : survivors : months per year	-	-	-	-	-	-	-	Months during last 12 months collecting  survivors pension (pocet mesicu v poslednich 12 mesicich kdy byl pobiran vdovsky duchod)	no. months receiving survivor pension (n. de meses recibiendo pension por supervivencia)	-	-	-	-	-			
	psuor	0	1	n/a	0	pension : survivors : orphan	-	-	-	-	orphan pension	-	-	-	-	-	orphan's pension	-	-	-			
	psuot	0	1	n/a	0	pension : survivors : other	-	-	-	-	-	-	-	-	PEN other survivor pension (otra pension de supervivencia)	-	-	-	-	-			
	psuss	0	1	n/a	0	pension : survivors : social security	-	Survivor pension (Pensione di reversibilita')	-	-	-	-	-	-	-	-	-	-	-	-			
	psuwd	0	1	n/a	0	pension : survivors : widow	-	-	-	-	widow pension	-	-	-	-	-	survivors' pensions	-	-	-			
	psuwd00	0	1	n/a	0	pension : survivors : widow : main/basic	-	-	-	-	-	-	-	-	PEN contributory widow pension (pension por viudedad contributiva)	-	-	-	-	-			
	psuwdcm	0	1	n/a	0	pension : survivors : widow : complement	-	-	-	-	-	-	-	-	PEN contributory widow pension complement (complemento por minimo a pension por viudedad)	-	-	-	-	-			
	psuwdcm_s	1	1	n/a	1E-13	pension : survivors : widow : complement : simulated	-	-	-	-	-	-	-	-	PEN Widow-widower�s pension complement (Complemento de m�nimos por viudedad)	-	-	-	-	-			
	pxp_s	1	1	n/a	1E-13	pension : extra pay : simulated	-	-	-	-	-	-	-	-	-	-	compensations for pension reduction	-	-	-			
	pyr	0	1	n/a	0	pension : early retirement	-	-	-	-	early retirement pension	-	-	-	-	-	-	-	-	-			
	sel01_s	1	0	n/a	0.0000000000001	system : eligibility : 01 : simulated	-	-	-	-	-	-	-	-	-	eligibility	eligibility	-	-	-			
	sel_s	1	0	n/a	1E-13	system : eligibility : simulated	Eligibility	Eligibility	Eligibility	Eligibility	Eligibility	Eligibility	Eligibility	-	Eligibility	Eligibility	Eligibility	Eligibility	-	-			
	sin01_s	1	1	n/a	1E-13	system : intermediate : 01 : simulated	-	-	-	-	-	-	-	Self-employed SIC: contribution base	tsc:Type of employee/er social contribution	-	-	-	-	-			
	sin02_s	1	1	n/a	1E-13	system : intermediate : 02 : simulated	-	-	-	-	-	-	-	Self-employed SIC: maximum contribution base	tsc: Type of self-employed social contribution	-	-	-	-	-			
	sin03_s	1	1	n/a	1E-13	system : intermediate : 03 : simulated	-	-	-	-	-	-	-	-	bch00: income test limit	-	-	-	-	-			
	sin04_s	1	1	n/a	1E-13	system : intermediate : 04 : simulated	-	-	-	-	-	-	-	"Income tax: other income, pensions above exemption limit"	tinit: Personal Tax Allowance (Minimo Personal)	-	-	-	-	-			
	sin05_s	1	1	n/a	1E-13	system : intermediate : 05 : simulated	-	-	-	-	-	-	-	Income tax: ficticious income for disabled	tinit: Family Tax Allowance for Children (M�nimo Familiar por Hijos)	-	-	-	-	-			
	sin06_s	1	1	n/a	1E-13	system : intermediate : 06 : simulated	-	-	-	-	-	-	-	-	tinit: Family Tax Allowance for Dependent Parents (M�nimo Familiar por Ascendiente) 	-	-	-	-	-			
	sin07_s	1	1	n/a	1E-13	system : intermediate : 07 : simulated	-	-	-	-	-	-	-	Total minimum living standard (MLS)	tinit: Employment Income Tax Allowance  (Deducci�n por Rendimientos del Trabajo)  	-	-	-	-	-			
	sin08_s	1	1	n/a	1E-13	system : intermediate : 08 : simulated	-	-	-	-	-	-	-	Children minimum living standard (MLS)	bunnc: number of eligible family members	-	-	-	-	-			
	sin09_s	1	1	n/a	1E-13	system : intermediate : 09 : simulated	-	-	-	-	-	-	-	Multiplying factors for household MLS 	tinit: Mortgage tax credit (Deducci�n por inversi�n en vivienda habitual: Adquisici�n o rehabilitaci�n de la vivienda habitual) 	-	-	-	-	-			
