ACRONYMS	Type		Level	Acronym	Description	Categorical	Categories																																																																																																																																																																																																																																																								
	sys_typelong	sys_typeshort	sys_levname	sys_acro	sys_desc	sys_categ	sys_first_categ																																																																																																																																																																																																																																																								
				FH	Father	0																																																																																																																																																																																																																																																									
				LG	Large Family	0																																																																																																																																																																																																																																																									
				MH	Mother	0																																																																																																																																																																																																																																																									
				ND	Non-dependent	0																																																																																																																																																																																																																																																									
				OW	Old worker	0																																																																																																																																																																																																																																																									
				PE	Pensioner	0																																																																																																																																																																																																																																																									
				SG	Single	0																																																																																																																																																																																																																																																									
				WC	With Children	0																																																																																																																																																																																																																																																									
				XC	No Children	0																																																																																																																																																																																																																																																									
				YA	Young adult	0																																																																																																																																																																																																																																																									
				YC	Young child	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Activity status																																																																																																																																																																																																																																																												
				NW	Not working	0																																																																																																																																																																																																																																																									
				SD	Student	0																																																																																																																																																																																																																																																									
				SE	Self-Employed	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Work related																																																																																																																																																																																																																																																												
				AG	Agriculture	0																																																																																																																																																																																																																																																									
				BK	Career Break	0																																																																																																																																																																																																																																																									
				CS	Civil Servant	0																																																																																																																																																																																																																																																									
				FR	Farmer	0																																																																																																																																																																																																																																																									
				FT	Full Time	0																																																																																																																																																																																																																																																									
				ML	Military	0																																																																																																																																																																																																																																																									
				MR	Miners	0																																																																																																																																																																																																																																																									
				PS	Private Sector	0																																																																																																																																																																																																																																																									
				PT	Part Time	0																																																																																																																																																																																																																																																									
				RW	Return To Work	0																																																																																																																																																																																																																																																									
				WI	Work Illness	0																																																																																																																																																																																																																																																									
				PU	Public Sector	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			housing																																																																																																																																																																																																																																																												
				HT	Heating	0																																																																																																																																																																																																																																																									
				TN	Tennant	0																																																																																																																																																																																																																																																									
				UT	utilities	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Age related																																																																																																																																																																																																																																																												
				WA	Work-Age	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			financing																																																																																																																																																																																																																																																												
				CT	Contributory	0																																																																																																																																																																																																																																																									
				NC	Non-Contributory	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Unexpected events																																																																																																																																																																																																																																																												
				WR	War	0																																																																																																																																																																																																																																																									
				WT	Weather-Related	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			eligibility																																																																																																																																																																																																																																																												
				MT	Means-Tested	0																																																																																																																																																																																																																																																									
				NM	Not Means-Tested	0																																																																																																																																																																																																																																																									
				UC	Unconditional/universal	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Payment																																																																																																																																																																																																																																																												
				CM	Complement	0																																																																																																																																																																																																																																																									
				LS	Lump-Sum	0																																																																																																																																																																																																																																																									
				MM	Minimum 	0																																																																																																																																																																																																																																																									
				RD	Reduction	0																																																																																																																																																																																																																																																									
				RE	"Regular, Periodic"	0																																																																																																																																																																																																																																																									
				SP	Social contribution pay back	0																																																																																																																																																																																																																																																									
				TC	Tax Credit	0																																																																																																																																																																																																																																																									
				TP	Tax Pay Back	0																																																																																																																																																																																																																																																									
				TU	Top Up	0																																																																																																																																																																																																																																																									
				XP	Extra pay	0																																																																																																																																																																																																																																																									
				TM	Temporary	0																																																																																																																																																																																																																																																									
				PM	Permanent	0																																																																																																																																																																																																																																																									
				EN	Entitlement	0																																																																																																																																																																																																																																																									
				EF	Effective	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Provider																																																																																																																																																																																																																																																												
				AB	Abroad	0																																																																																																																																																																																																																																																									
				MU	Municipal Government	0																																																																																																																																																																																																																																																									
				NA	National Government	0																																																																																																																																																																																																																																																									
				PG	Provincial Government	0																																																																																																																																																																																																																																																									
				RG	Regional Government	0																																																																																																																																																																																																																																																									
				SS	Social Security	0																																																																																																																																																																																																																																																									
				ER	Employer	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Time/Period																																																																																																																																																																																																																																																												
				DY	Days per year	0																																																																																																																																																																																																																																																									
				LT	Long Term	0																																																																																																																																																																																																																																																									
				MY	Months per year	0																																																																																																																																																																																																																																																									
				ST	Short Term	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Received? Yes/No																																																																																																																																																																																																																																																												
				YN	Received? Yes/No	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			taxation																																																																																																																																																																																																																																																												
				NT	Not Taxable	0																																																																																																																																																																																																																																																									
				TX	Taxable	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			other																																																																																																																																																																																																																																																												
				EX	Extinguished	0																																																																																																																																																																																																																																																									
				PB	Probability Of Receiving	0																																																																																																																																																																																																																																																									
				OT	Other	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Numbers																																																																																																																																																																																																																																																												
				00	Main/Basic	0																																																																																																																																																																																																																																																									
				01	01	0																																																																																																																																																																																																																																																									
				02	02	0																																																																																																																																																																																																																																																									
				03	03	0																																																																																																																																																																																																																																																									
				04	04	0																																																																																																																																																																																																																																																									
				05	05	0																																																																																																																																																																																																																																																									
				06	06	0																																																																																																																																																																																																																																																									
				07	07	0																																																																																																																																																																																																																																																									
				08	08	0																																																																																																																																																																																																																																																									
				09	09	0																																																																																																																																																																																																																																																									
				10	10	0																																																																																																																																																																																																																																																									
				11	11	0																																																																																																																																																																																																																																																									
				12	12	0																																																																																																																																																																																																																																																									
				13	13	0																																																																																																																																																																																																																																																									
				14	14	0																																																																																																																																																																																																																																																									
				15	15	0																																																																																																																																																																																																																																																									
				16	16	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																															
	INCOME	Y																																																																																																																																																																																																																																																													
			Main																																																																																																																																																																																																																																																												
				DS	Disposable	0																																																																																																																																																																																																																																																									
				EA	Earnings	0																																																																																																																																																																																																																																																									
				EM	Employment	0																																																																																																																																																																																																																																																									
				IY	Investment	0																																																																																																																																																																																																																																																									
				PP	Private Pension	0																																																																																																																																																																																																																																																									
				PR	Property	0																																																																																																																																																																																																																																																									
				PT	Private Transfers	0																																																																																																																																																																																																																																																									
				SE	Self Employment	0																																																																																																																																																																																																																																																									
				UN	Unemployment	0																																																																																																																																																																																																																																																									
				IV	Imputed value	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Provider																																																																																																																																																																																																																																																												
				HH	Household	0																																																																																																																																																																																																																																																									
				SP	Spouse	0																																																																																																																																																																																																																																																									
				CH	Children	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Origin																																																																																																																																																																																																																																																												
				AB	Abroad	0																																																																																																																																																																																																																																																									
				AG	Agriculture	0																																																																																																																																																																																																																																																									
				BS	Business	0																																																																																																																																																																																																																																																									
				HO	Housing	0																																																																																																																																																																																																																																																									
				IL	Intellectual Activities	0																																																																																																																																																																																																																																																									
				RO	Royalties	0																																																																																																																																																																																																																																																									
				LD	Land	0																																																																																																																																																																																																																																																									
				MP	Maintenance Payment	0																																																																																																																																																																																																																																																									
				MR	Main residence	0																																																																																																																																																																																																																																																									
				OR	Other residence	0																																																																																																																																																																																																																																																									
				SV	Severance pay	0																																																																																																																																																																																																																																																									
				ST	Student	0																																																																																																																																																																																																																																																									
				WG	Wage/Salary	0																																																																																																																																																																																																																																																									
				RT	Rent	0																																																																																																																																																																																																																																																									
				OT	Other	0																																																																																																																																																																																																																																																									
				RA	Registered activity	0																																																																																																																																																																																																																																																									
				NA	Non-registered activity	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Employment																																																																																																																																																																																																																																																												
				AJ	Additonal Jobs	0																																																																																																																																																																																																																																																									
				PJ	Permanent Job	0																																																																																																																																																																																																																																																									
				TJ	Temporary job	0																																																																																																																																																																																																																																																									
				XP	Extra Pay	0																																																																																																																																																																																																																																																									
				HB	Hobby	0																																																																																																																																																																																																																																																									
				HL	Holiday Bonus	0																																																																																																																																																																																																																																																									
				SI	Sickness replacement salary	0																																																																																																																																																																																																																																																									
				XB	Christmas Bonus	0																																																																																																																																																																																																																																																									
				EQ	Full-time equivalent employment	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Invest Income																																																																																																																																																																																																																																																												
				BD	Bonds	0																																																																																																																																																																																																																																																									
				BN	Bonus	0																																																																																																																																																																																																																																																									
				DP	Deposits	0																																																																																																																																																																																																																																																									
				DV	Dividends	0																																																																																																																																																																																																																																																									
