VARIABLES	"Variable
Name"	Model Generated	Monetary	Default Variable	"Default
Value"	"Automatic
Label"																												
	bhl	0	1	n/a	0	benefit : health	-	-	sickness benefit (haigusraha)	"sickness benefits (táppénz, távolléti díj)"	benefit : health	wage compensation for sick leave (bolniško nadomestilo)	-	Sickness benefits (Nemocenska)	BEN sickness benefit (prestacion por enfermedad)	sickness benefits	sickness benefits (????????? ?????????)	-	-	-	-	-	-	-	-	-	-	sickness benefit (subsidio de doença)	-	health related benefits	health related benefits	-	-	
	bhl_s	1	1	n/a	1E-13	benefit : health : simulated	-	-	-	-	-	-	-	-	-	-	-	-	Sickness benefit	-	injury benefit	-	-	-	-	-	-	-	-	-	-	-	-	
	bhlmt_s	1	1	n/a	1E-13	benefit : health : means-tested : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bhlsp_s	1	1	n/a	1E-13	benefit : health : social contribution pay back : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	Health insurance contribution compensation benefit	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bhlwk	0	1	n/a	0	benefit : health : work related	-	-	-	-	-	-	-	-	-	-	-	Statutory sick pay	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bho	0	1	n/a	0	benefit : housing	Housing related benefits	Housing benefits	-	housing benefit	housing benefit	housing benefit (subvencija najemnine)	-	Housing benefit (Prispevek na bydleni)	BEN housing benefit (prestacion por vivienda)	housing allowances	housing benefits	housing benefit	-	-	-	-	-	-	-	-	-	housing benefit (apoio monetário estatal à habitação)	-	Housing benefits	Housing benefits	-	-	
	bho00	0	1	n/a	0	benefit : housing : main/basic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rent and mortgage supplements	-	-	-	-	-	-	-	-	-	-	-	-	
	bho_s	1	1	n/a	1E-13	benefit : housing : simulated	-	-	-	-	benefit : housing : simulated	housing benefit (subvencija najemnine)	-	Housing benefit (Prispevek na bydleni)	-	-	-	housing benefit	Hous. All. and Hous. All. for pensioners	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bhoef_s	1	1	n/a	1E-13	benefit : housing : effective : simulated	-	-	-	-	housing benefit: received	-	-	-	-	-	-	-	Housing allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bhoen_s	1	1	n/a	1E-13	benefit : housing : entitlement : simulated	-	-	-	-	housing benefit: entitlement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bhoht	0	1	n/a	0	benefit : housing : heating	-	-	-	-	-	-	-	-	-	-	-	-	-	-	fuel allowance	-	-	-	-	-	-	-	-	-	-	-	-	
	bhomu_s	1	1	n/a	1E-13	benefit : housing : municipal government : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Bnefit from municipalities	-	-	-	
	bhoot	0	1	n/a	1E-13	benefit : housing : other	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bhope_s	1	1	n/a	0.0000000000001	benefit : housing : pensioner : simulated	-	-	-	-	-	-	-	-	-	-	-	-	Housing allowance for pensioners	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bhout	0	1	n/a	0	benefit : housing : utilities	-	-	-	-	-	-	-	-	-	-	-	-	-	-	household benefit package	-	-	-	-	-	-	-	-	-	-	-	-	
	bma	0	1	n/a	0	benefit : maternity	Maternity leave	Maternity payments (only self emp and lump sum - Assegno di Maternita')	maternity benefits (total)	-	maternity benefit	-	-	-		-	-	-	-	-	maternity benefit	-	-	-	-	-	-	-	-	-	-	-	-	
	bma_s	1	1	n/a	1E-13	benefit : maternity : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	maternity benefit	-	-	-	-	-	-	-	-	-	-	-	-	
	bmaab	0	1	n/a	0	benefit : maternity : abroad	-	-	parental benefit abroad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmact	0	1	n/a	0	benefit : maternity : contributory	-	-	parental benefit (vanemapalk)	maternity allowance (terhességi-gyermekágyi segély)	-	parental payment (starševsko nadomestilo)	-	-	-	-	maternity benefits	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmact_s	1	1	n/a	0.0000000000001	benefit : maternity : contributory : simulated	-	-	-	-	-	-	-	-	-	maternity (paternity) leave benefit (motinyst?s (t?vyst?s) pašalpa)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmaer	0	1	n/a	0	benefit : maternity : employer	-	-	-	-	-	-	-	-	-	-	-	Statutory maternity pay	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmals	0	1	n/a	0.0000000000001	benefit : maternity : lump-sum	-	Maternity payments (lump sum)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmamy	0	0	n/a	0	benefit : maternity : months per year	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Months receiving bma	-	
	bmana	0	1	n/a	0	benefit : maternity : national government	-	-	-	-	-	-	-	-	-	-	-	Maternity Allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmanc	0	1	n/a	0	benefit : maternity : non-contributory	-	-	-	-	-	parental allowance (starševski dodatek)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmanc_s	1	1	n/a	1E-13	benefit : maternity : non-contributory : simulated	-	-	-	maternity grant (anyasági támogatás)	-	parental allowance (starševski dodatek)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmapr	0	1	n/a	0	benefit : maternity : pregnancy	-	-	maternity benefit (sünnitushüvitis)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmaprct_s	1	1	n/a	0.0000000000001	benefit : maternity : pregnancy : contributory : simulated	-	-	-	-	-	-	-	-	-	maternity leave benefit (motinyst?s pašalpa)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmaprnc_s	1	1	n/a	0.0000000000001	benefit : maternity : pregnancy : non-contributory : simulated	-	-	-	-	-	-	-	-	-	pregnancy grant (vienkartin? išmoka n?š?iai moteriai)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bmase	0	1	n/a	0.0000000000001	benefit : maternity : self-employed	-	Maternity payments (only self emp)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bml	0	1	n/a	1E-13	benefit : military	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	soldier's allowance	-	-	
	bmu_s	1	1	n/a	0.0000000000001	benefit : municipal government : simulated	-	-	-	-	-	-	-	-	-	-	-	Council Tax benefit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boa	0	1	n/a	0	benefit : old age	-	-	-	-	-	-	-	-	-	old age benefits	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boacs_s	1	1	n/a	0.0000000000001	benefit : old age : civil servant : simulated	-	-	-	-	-	-	-	-	-	-	lump sum benefit for retired civil servants	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boact	0	1	n/a	0	benefit : old age : contributory	-	-	-	-	-	-	-	-	-	-	pensioners' social solidarity benefit (????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boact00	0	1	n/a	0	benefit : old age : contributory : main/basic	-	-	-	-	-	-	-	-	-	-	-	State pension	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boact_s	1	1	n/a	1E-13	benefit : old age : contributory : simulated	-	-	-	-	-	-	-	-	-	-	pensioners' social solidarity benefit (????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boactcm	0	1	n/a	0	benefit : old age : contributory : complement	-	-	-	-	-	-	-	-	-	-	-	Occupational Pension	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boaht_s	1	1	n/a	0.0000000000001	benefit : old age : heating : simulated	-	-	-	-	-	-	-	-	-	-	-	Winter Fuel Allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boamt	0	1	n/a	0	benefit : old age : means-tested	-	-	-	-	-	-	-	-	-	-	-	Pension Credit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boamt_s	1	1	n/a	0.0000000000001	benefit : old age : means-tested : simulated	-	-	-	-	-	-	-	-	-	-	-	Pension Credit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boamtmm_s	1	1	n/a	0.0000000000001	benefit : old age : means-tested : minimum  : simulated	-	-	-	-	-	-	-	-	-	-	-	PC: Guarantee Credit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boamtxp_s	1	1	n/a	0.0000000000001	benefit : old age : means-tested : extra pay : simulated	-	-	-	-	-	-	-	-	-	-	-	PC:Saving Credit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boanc	0	1	n/a	0	benefit : old age : non-contributory	-	-	-	-	-	-	-	-	-	-	social pension (??????? ???????????? ??????????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boanc_s	1	1	n/a	1E-13	benefit : old age : non-contributory : simulated	-	-	-	-	-	-	-	-	-	-	social pension (??????? ???????????? ??????????)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	boawr	0	1	n/a	0	benefit : old age : war	-	-	-	-	-	-	-	-	-	-	-	War pension	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bot	0	1	n/a	0	benefit : other	-	-	-	-	other benefits	-	-	-	-	-	-	other benefits	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	botre	0	1	n/a	0	"benefit : other : regular, periodic"	-	-	-	other regular benefits	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bpl	0	1	n/a	1E-13	benefit : parental leave	-	-	-	-	-	-	-	-	-	-	-	-	Parents' allowance at birth	-	-	-	-	-	-	Parents' allowance at birth	-	-	-	-	-	-	-	
	bplct_s	1	1	n/a	0.0000000000001	benefit : parental leave : contributory : simulated	-	-	-	-	-	-	-	-	-	paternity leave benefit (t?vyst?s pašalpa)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsa	0	1	n/a	0	benefit : social assistance	Social assistance	Social assistance	-	social assistance	social assistance	social assistance (socialna pomo?)	-	"Social assistance benefits (Pravidelne davky socialni potrebnosti ""dav_sp"")"	BEN social assistance benefits (asistencia social)	social assistance benefits	-	Income Support	-	-	-	-	-	-	-	-	-	-	-	social assistance	social assistance	-	-	
	bsa_s	1	1	n/a	1E-13	benefit : social assistance : simulated	Income support	-	-	social assistance (szociális segélyek)	-	social assistance (socialna pomo?)	Social Assistance	"Social assistance benefits (Pravidelne davky socialni potrebnosti ""dav_sp"")"	-	-	-	Income support	-	-	-	-	-	-	-	-	-	-	-	-	Public assistance benefit	-	-	
	bsa00	0	1	n/a	0	benefit : social assistance : main/basic	-	-	subsistence benefit (toimetulekutoetus)	-	-	-	-	-	-	social benefit (socialin? pašalpa)	-	-	-	-	-	-	-	-	-	-	-	benefit : social assistance : main/basic	-	-	-	-	-	
	bsa00_s	1	1	n/a	1E-13	benefit : social assistance : main/basic : simulated	-	-	subsistence benefit (toimetulekutoetus)	"social assistance, regular benefit (rendszeres szociális segély)"	-	-	-	Social assistance	-	social benefit (socialin? pašalpa)	-	-	-	-	-	-	-	-	-	-	-	benefit : social assistance : main/basic : simulated	-	-	-	-	-	
	bsaab	0	1	n/a	0	benefit : social assistance : abroad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	non-Irish social welfare payments	-	-	-	-	-	-	-	-	-	-	-	-	
	bsacr	0	1	n/a	0	benefit : social assistance : caring	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsaen_s	1	0	n/a	1E-13	benefit : social assistance : entitlement : simulated	social assistance category	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsaho_s	1	1	n/a	1E-13	benefit : social assistance : housing : simulated	-	-	-	"social assistance, home maintenance support (lakásfenntartási támogatás)"	-	-	-	Social assistance supplement for housing	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsaht	0	1	n/a	1E-13	benefit : social assistance : heating	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Heating benefit	
	bsaht_s	1	1	n/a	0.0000000000001	benefit : social assistance : heating : simulated	-	-	-	-	-	-	-	-	-	-	lump sum heating benefit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsals	0	1	n/a	0	benefit : social assistance : lump-sum	-	-	other social assistance	-	-	-	-	-	-	municipal and NGO support (savivaldybiu ir NVO parama)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsamm_s	1	1	n/a	1E-13	benefit : social assistance : minimum  : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Giaranteed minimum income	-	-	-	
	bsamt01_s	1	1	n/a	1E-13	benefit : social assistance : means-tested : 01 : simulated	part of income of other hh members taken into account in means test social assistance category 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsamt03_s	1	1	n/a	1E-13	benefit : social assistance : means-tested : 03 : simulated	part of income of other hh members taken into account in means test social assistance category 3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsanw_s	1	1	n/a	1E-13	benefit : social assistance : not working : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Means-tested Protection Allowance	-	
	bsaoa_s	1	1	n/a	1E-13	benefit : social assistance : old age : simulated	Income support for the elderly	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	benefit : social assistance : old age : simulated	-	-	-	-	-	
	bsaot	0	1	n/a	0	benefit : social assistance : other	-	-	-	-	benefit : social assistance : other	-	-	-	-	-	minor social assistance benefits	-	-	-	-	-	-	-	-	-	-	benefit : social assistance : other	-	-	-	-	-	
	bsapm	0	1	n/a	1E-13	benefit : social assistance : permanent	-	-	-	-	Permanent social assistance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsapm_s	1	1	n/a	1E-13	benefit : social assistance : permanent : simulated	-	-	-	-	social assistance: permanent	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsapmot	0	1	n/a	1E-13	benefit : social assistance : permanent : other	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsarg_s	1	1	n/a	1E-13	benefit : social assistance : regional government : simulated	-	-	-	-	-	-	-	-	BEN simulated Regional Social Assistance (Rentas Mínimas de Inserción de las CCAA) - (!) switched off 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsatm	0	1	n/a	1E-13	benefit : social assistance : temporary	-	-	-	-	Temporary social assistance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsatm_s	1	1	n/a	1E-13	benefit : social assistance : temporary : simulated	-	-	-	-	social assistance: temporary	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsatmefmu_s	1	1	n/a	1E-13	benefit : social assistance : temporary : effective : municipal government : simulated	-	-	-	-	temporary social assistance assumed to be paid by local government (amount received)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsatmefna_s	1	1	n/a	1E-13	benefit : social assistance : temporary : effective : national government : simulated	-	-	-	-	temporary social assistance guaranteed by national government (amount received)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsatmen_s	1	1	n/a	1E-13	benefit : social assistance : temporary : entitlement : simulated	-	-	-	-	temporary social assistance entitlement (amount that should be received)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsatmpb	0	1	n/a	0	benefit : social assistance : temporary : probability of receiving	-	-	-	-	expected probability to receive temporary social assistance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsawk_s	1	1	n/a	1E-13	benefit : social assistance : work related : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Means-tested activation alllowance	-	
	bsu	0	1	n/a	0	benefit : survivors	-	-	-	-	-	-	-	-	-	survivors' benefits	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bsuwd	0	1	n/a	0	benefit : survivors : widow	-	-	-	-	-	-	-	-	-	-	-	Widow's pension	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bun	0	1	n/a	0	benefit : unemployment	Unemployment benefits	Unemployment benefits	unemployment benefits (total)	unemployment benefits (munkanélküli ellátások)	unemployment benefit	unemployment benefits	-	Unemployment benefit (Prispevek v nezamestnanosti)	BEN unemployment benefit (prestacion por desempleo)	unemployment benefits	total unemployment benefits	-	-	-	-	-	-	-	-	-	-	unemployment benefit (subsídio de desemprego)	-	Unemployment benefits	Unemployment benefits	-	-	
	bun_s	1	1	n/a	1E-13	benefit : unemployment : simulated	Unemployment benefits	-	-	-	unemployment benefit	-	-	Unemployment benefit (Prispevek v nezamestnanosti)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Unemployment benefit	-	-	-	
	bunct	0	1	n/a	0	benefit : unemployment : contributory	-	-	unemployment insurance benefit (töötukindlustushüvitis)	-	-	unemployment wage compensation (denarno nadomestilo za primer brezposelnosti)	-	-	BEN unemployment insurance (prestacion por desempleo contributiva)	unemployment insurance benefit (nedarbo draudimo išmoka)	unemployment insurance benefit (??????? ????????)	JSA contributory	-	-	-	-	-	-	-	-	-	benefit : unemployment : contributory	-	-	-	-	-	
	bunct02_s	1	1	n/a	0.0000000000001	benefit : unemployment : contributory : 02 : simulated	-	Unemployment benefit (Indennita' di Disoccupazione)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunct_s	1	1	n/a	1E-13	benefit : unemployment : contributory : simulated	-	-	unemployment insurance benefit (töötukindlustushüvitis)	-	-	-	-	-	-	unemployment insurance benefit (nedarbo draudimo išmoka)	unemployment insurance benefit (??????? ????????)	unemployment benefit (JSA)	-	-	-	-	-	-	-	-	-	benefit : unemployment : contributory : simulated	-	-	-	-	-	
	bunct01	0	1	n/a	0	benefit : unemployment : contributory : 01	-	Unemployment benefit (Cassa Integrazione Guadagni)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunct02	0	1	n/a	0	benefit : unemployment : contributory : 02	-	Unemployment benefit (Indennita' di Disoccupazione - Mobilita')	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunctmy	0	0	bunmy	0	benefit : unemployment : contributory : months per year	-	-	no. months receiving unemployment insurance benefit	-	-	-	-	-	no. months receiving unemployment insurance (n. de meses recibiendo prestacion por Bdesempleo)	-	no. months receiving unemployment insurance benefit	-	-	-	-	-	-	-	-	-	-	benefit : unemployment : contributory : months per year	-	-	-	-	-	
	bunctmy01	0	0	n/a	0.0000000000001	benefit : unemployment : contributory : months per year : 01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunctmy02	0	0	n/a	0.0000000000001	benefit : unemployment : contributory : months per year : 02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunctmy_s	1	0	n/a	1E-13	benefit : unemployment : contributory : months per year : simulated	-	-	no. months receiving unemployment insurance benefit	-	-	-	-	-	no. months receiving unemployment insurance (n. de meses recibiendo prestacion por Bdesempleo)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunmt	0	1	n/a	0	benefit : unemployment : means-tested	-	-	-	-	-	unemployment assistance (denarna pomo? med brezposelnostjo)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunmt_s	1	1	n/a	1E-13	benefit : unemployment : means-tested : simulated	-	-	-	-	-	-	-	-	BEN Temporary Unemployment Protection Program (Programa Temporal de Protección por Desempleo e Inserción). 	-	-	Income  based JSA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunmtmy_s	1	0	n/a	1E-13	benefit : unemployment : means-tested : months per year : simulated	-	-	-	-	-	-	-	-	BEN Duration of temporary Unemployment Protection Program (Duraccion del Programa Temporal de Protección por Desempleo e Inserción). 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunmy	0	0	n/a	0	benefit : unemployment : months per year	-	UB: no. of months received in the year	no. months receiving unemployment benefits	no. of months in unemp benefit	no. of months in unemp benefit	no. of months receiving unemployment wage compensation (število mesecev prejemanja denarnega nadomestila za primer brezposelnosti)	-	Months during last 12 months collecting unemployment benefit (Pocet mesicu v poslednich 12 mesicich pobirani prispevku v nezamestnanosti)	no. months receiving unemployment benefit (n. de meses recibiendo desempleo)	no. months receiving unemployment benefits	-	-	-	-	-	-	-	-	-	-	-	no. months receiving unemployment benefit (nº de meses a receber subsídio de desemprego)	-	no. of months in unemp benefit	no. of months in unemp benefit	-	-	
	bunmy_s	1	0	n/a	1E-13	benefit : unemployment : months per year : simulated	-	-	-	-	-	-	-	Months during last 12 months collecting unemployment benefit (Pocet mesicu v poslednich 12 mesicich pobirani prispevku v nezamestnanosti)	-	no. months receiving unemployment benefits	no. months receiving unemployment insurance benefit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunnc	0	1	n/a	0	benefit : unemployment : non-contributory	-	-	unemployment assistance benefit (töötu abiraha)	-	-	-	-	-	BEN unemployment assistance (prestacion por desempleo asistencial)	-	unemployment assistance for older workers (??????? ???????????? ???????)	-	-	-	-	-	-	-	-	-	-	benefit : unemployment : non-contributory	-	-	-	-	-	
	bunnc_s	1	1	n/a	1E-13	benefit : unemployment : non-contributory : simulated	-	-	unemployment assistance benefit (töötu abiraha)	-	-	-	-	-	-	-	unemployment assistance for older workers (??????? ???????????? ???????)	-	-	-	-	-	-	-	-	-	-	benefit : unemployment : non-contributory : simulated	-	-	-	-	-	
	bunncmy	0	0	n/a	0	benefit : unemployment : non-contributory : months per year	-	-	no. months receiving unemployment assistance benefit	-	-	-	-	-	no. months receiving unemployment assistance (n. de meses recibiendo subsidio por desempleo)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunncmy_s	1	0	n/a	1E-13	benefit : unemployment : non-contributory : months per year : simulated	-	-	no. months receiving unemployment assistance benefit	-	-	-	-	-	no. months receiving unemployment assistance (n. de meses recibiendo subsidio por desempleo)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bunot	0	1	n/a	0	benefit : unemployment : other	-	-	-	-	-	-	-	-	-	-	minor unemployment benefits	-	-	-	-	-	-	-	-	-	-	-	-	-	other unemployment benefits	Unemployment benefits: residual	-	
	bunsa	0	1	n/a	1E-13	benefit : unemployment : social assistance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Unemployment benefit from Social Insurance	-	-	
	bunsa_s	1	1	n/a	1E-13	benefit : unemployment : social assistance : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	unemployment benefit from social insurance	-	-	
	bunst	0	1	n/a	0	benefit : unemployment : short term	-	Unemployment benefit s.t. training	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	buntr	0	1	n/a	0	benefit : unemployment : training	-	-	unemployment retraining benefit (töötu ümberõppe stipendium)	-	-	-	-	-	-	-	-	Training allowance	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bwkmt	0	1	n/a	0	benefit : work related : means-tested	-	-	-	-	-	-	-	-	-	-	-	Working Tax Credit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bwkmt_s	1	1	n/a	0.0000000000001	benefit : work related : means-tested : simulated	-	-	-	-	-	-	-	-	-	-	-	Working Tax Credit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bwkmtcm_s	1	1	n/a	1E-13	benefit : work related : means-tested : complement : simulated	-	-	-	-	-	-	-	-	-	-	-	WTC 30hrs element entitlement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	bwkmtcmyn_s	1	1	n/a	0.0000000000001	benefit : work related : means-tested : complement : received? yes/no : simulated	-	-	-	-	-	-	-	-	-	-	-	Receipt WTC 30hrs element	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	byr	0	1	n/a	0	benefit : early retirement	Early retirement pension	-	-	-	?wiadczenia przedemerytalne	-	-	-	-	early retirement benefit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	byr_s	1	1	n/a	1E-13	benefit : early retirement : simulated	early retirement benefit: simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	dag	0	0	n/a	0	demographic : age	age	-	age	individual age	individual age	individual age	Age	Age (vek)	age (edad)	age	age	age	-	-	-	-	-	-	-	-	-	age (idade)	-	age	age	-	-	
	dct	0	0	n/a	0	demographic : country	country code	-	country code	country of residence	country of residence	country of residence	-	Country specific code (specificky kod zeme)	country code (codigo del pais)	country code	country code	country code	-	-	-	-	-	-	-	-	-	country code (código do país)	-	country code	country code	-	-	
	dcu	0	0	n/a	0	demographic : consensual union	consensual union: not married but legally cohabiting	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	dcz	0	0	n/a	0	demographic : citizenship	Citizenship	Citizenship	citizenship	citizenship	citizenship	citizenship	-	Citizenship (statni prislusnost)	citizenship (ciudadania)	citizenship	citizenship	citizenship	-	-	-	-	-	-	-	-	-	citizenship (nacionalidade)	-	citizenship	citizenship	-	-	
	ddi	0	0	n/a	0	demographic : disability	Disability status (0-1)	Disability status (0-1)	disability status	disability level in percent (0-100)	niepe?nosprawno??	disability	-	Permanently disabled or/and unfit to work (trvale invalidni a/nebo neschopen prace)	disability (invalidez)	disability	disability	disability	-	-	-	-	-	-	-	-	-	disability (invalidez)	-	respondent disability status	respondent disability status	-	-	
	ddilv	0	0	n/a	0	demographic : disability : level (%)	-	-	-	disability level in percent (0-100)	disability level	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	ddita	0	0	n/a	0	demographic : disability : tax related	-	-	-	-	-	-	-	-	-	-	disability status for taxation purposes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	ddp_s	1	1	n/a	1E-13	demographic : dependant : simulated	dependent person (0=no; 1=yes)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	ddpch_s	1	1	n/a	1E-13	demographic : dependant : child : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
	ddppr_s	1	1	n/a	1E-13	demographic : dependant : person : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
